step,energy_eV,temperature_K
0,-815.31335449,0.6265
1,-815.31207275,1.1491
2,-815.31030273,1.5243
3,-815.30865479,2.0063
4,-815.30603027,2.3496
5,-815.30206299,2.6724
6,-815.29718018,3.2468
7,-815.29211426,3.4715
8,-815.28808594,3.8194
9,-815.28320312,4.2341
10,-815.27642822,4.0171
11,-815.27105713,4.4565
12,-815.26751709,4.7715
13,-815.26568604,5.1328
14,-815.26354980,5.8355
15,-815.25915527,6.1917
16,-815.25286865,6.3300
17,-815.24951172,6.7269
18,-815.25042725,6.9983
19,-815.24926758,7.4419
20,-815.24371338,7.5798
21,-815.23333740,7.9483
22,-815.22369385,7.9507
23,-815.22027588,8.5396
24,-815.21691895,8.7756
25,-815.20947266,8.8040
26,-815.20043945,9.0623
27,-815.19390869,9.3628
28,-815.19207764,9.8583
29,-815.19348145,10.6220
30,-815.19451904,11.2011
31,-815.19445801,11.5286
32,-815.19317627,12.0382
33,-815.19293213,12.5336
34,-815.19525146,13.4336
35,-815.19409180,14.0905
36,-815.18737793,14.3346
37,-815.17730713,14.2160
38,-815.16925049,14.4291
39,-815.16302490,14.0385
40,-815.15783691,14.1859
41,-815.15264893,14.6445
42,-815.14562988,15.1117
43,-815.13702393,14.8808
44,-815.13458252,15.7036
45,-815.13708496,16.5567
46,-815.13909912,17.1726
47,-815.13793945,17.5905
48,-815.13287354,18.0188
49,-815.12591553,18.6092
50,-815.12084961,18.1640
51,-815.11846924,18.7680
52,-815.11090088,18.5648
53,-815.09600830,18.1352
54,-815.07916260,17.7270
55,-815.07031250,17.4707
56,-815.07080078,18.1152
57,-815.07128906,18.4829
58,-815.06744385,18.8117
59,-815.05871582,19.0253
60,-815.05474854,19.0673
61,-815.05718994,20.5718
62,-815.05615234,21.0942
63,-815.04785156,21.1544
64,-815.03808594,21.8857
65,-815.03356934,22.0191
66,-815.03552246,23.0982
67,-815.03436279,23.3121
68,-815.02801514,23.4957
69,-815.01947021,23.4845
70,-815.01971436,23.9758
71,-815.02355957,24.3375
72,-815.01965332,24.6783
73,-815.00567627,24.6393
74,-814.99517822,24.6662
75,-814.99084473,24.9274
76,-814.98944092,25.1286
77,-814.98364258,25.0998
78,-814.97143555,24.8553
79,-814.96502686,24.5770
80,-814.96783447,25.6701
81,-814.97192383,26.5998
82,-814.97198486,26.5516
83,-814.97003174,25.8994
84,-814.96551514,26.2824
85,-814.96020508,26.2848
86,-814.95727539,26.8980
87,-814.95697021,27.6153
88,-814.95056152,27.9521
89,-814.93621826,27.5802
90,-814.92425537,27.4266
91,-814.92614746,27.4061
92,-814.93780518,28.0162
93,-814.94354248,28.1865
94,-814.93792725,28.4120
95,-814.92950439,29.3417
96,-814.92736816,30.0494
97,-814.92950439,30.3502
98,-814.93371582,30.4239
99,-814.93084717,31.3422
100,-814.91491699,30.7187
101,-814.89660645,29.7475
102,-814.88763428,30.0452
103,-814.88671875,30.3561
104,-814.88317871,31.2472
105,-814.87139893,31.1703
106,-814.85595703,30.7316
107,-814.84570312,29.9619
108,-814.84661865,30.7181
109,-814.85302734,32.2036
110,-814.85485840,33.0254
111,-814.84613037,33.3372
112,-814.84100342,33.4936
113,-814.84503174,33.6965
114,-814.85455322,35.4227
115,-814.85845947,36.1577
116,-814.85095215,36.6312
