feature,importance
frac_Y,0.0900182
frac_F,0.07347329
frac_Cu,0.061947994
frac_Yb,0.06103687
peak_9_tt,0.057
xrd_kurt_intensity,0.029646978
frac_Ca,0.025891926
frac_I,0.019869301
frac_Re,0.019780375
frac_Zn,0.019134967
peak_8_tt,0.0187749
frac_Ce,0.018387813
xrd_std_intensity,0.017388405
frac_S,0.017333686
peak_8_int,0.017113592
frac_Fe,0.01596295
frac_P,0.015899751
frac_Mg,0.01531999
frac_Sb,0.015294216
peak_3_int,0.014862139
peak_3_tt,0.014069702
peak_4_tt,0.012756635
peak_4_int,0.01252906
xrd_skew_intensity,0.012444673
frac_Sn,0.011905114
frac_Co,0.01079764
peak_7_tt,0.010389041
peak_5_int,0.01012042
frac_Na,0.009635031
frac_C,0.009604007
peak_0_tt,0.009550319
frac_N,0.00920472
peak_2_tt,0.0090042865
frac_Mn,0.008966992
frac_Li,0.008929895
frac_Cd,0.00883775
frac_Si,0.008677218
peak_0_int,0.008526134
frac_O,0.008328498
peak_2_int,0.008259148
peak_7_int,0.008155283
frac_H,0.007997941
xrd_mean_intensity,0.00792762
frac_Ag,0.007846448
frac_K,0.007821497
peak_5_tt,0.007821254
peak_6_tt,0.007780606
frac_Eu,0.0073782285
frac_Br,0.007276866
peak_6_int,0.0067943763
is_stable,0.0067055067
frac_Th,0.006646334
peak_1_tt,0.0064386562
frac_Cl,0.0060714604
peak_1_int,0.0059103547
frac_Zr,0.0043040114
frac_Cr,0.0041803475
frac_Ba,0.004060396
frac_Gd,0.0037042
frac_La,0.0036848749
frac_Bi,0.0035417017
frac_Se,0.003321502
frac_Ge,0.0026012333
frac_W,0.0024565768
frac_Au,0.0024220606
frac_Ru,0.0023614664
frac_U,0.0023251865
frac_Nb,0.0022687325
frac_Tl,0.0021171449
frac_In,0.0019382973
frac_B,0.0018855595
frac_Nd,0.0018182457
frac_Al,0.0018082288
frac_Sc,0.0017456786
frac_Cs,0.0014810236
frac_Pt,0.0014766004
frac_Sr,0.0013133845
frac_Ni,0.001311665
frac_Os,0.0012505369
frac_Pb,0.0010910388
frac_Rb,0.0009581993
frac_Mo,0.00088212494
frac_Np,0.0007925883
frac_Ti,0.0004144088
frac_Dy,0.00025479635
frac_Sm,0.00024606983
frac_As,0.00019195031
frac_Tb,0.00018999074
frac_Hg,0.00015627286
frac_V,9.485838e-05
frac_Te,3.724133e-05
frac_Tm,2.4443447e-05
frac_Er,1.761104e-05
frac_Pr,1.604084e-05
frac_Rh,5.9027084e-06
frac_Hf,1.814333e-06
frac_Be,0.0
frac_Pu,0.0
frac_Pd,0.0
frac_Lu,0.0
peak_9_int,0.0
