feature,importance
frac_Hf,0.2100348
frac_Pb,0.10266704
frac_Os,0.096147686
frac_Tl,0.05462148
frac_Yb,0.045222428
frac_Hg,0.030288547
frac_U,0.0237874
frac_O,0.021232065
frac_Y,0.020439627
frac_P,0.019110125
frac_Zr,0.01670775
frac_K,0.01544841
frac_Ag,0.015147496
xrd_mean_intensity,0.014894144
peak_4_tt,0.014742728
xrd_skew_intensity,0.014719444
frac_Si,0.013823876
peak_4_int,0.013746337
frac_Li,0.011956907
peak_9_tt,0.011156868
frac_Re,0.010695083
frac_Sb,0.010242141
frac_Au,0.009722035
peak_0_int,0.009252203
frac_Cs,0.00884292
frac_Ba,0.008389166
peak_6_tt,0.008376756
peak_8_int,0.008292052
peak_5_int,0.008002017
peak_3_tt,0.00791429
peak_8_tt,0.007749618
peak_3_int,0.0069915275
frac_B,0.0062953145
frac_Ru,0.0056587234
frac_H,0.0054872185
peak_1_int,0.005417415
peak_7_int,0.0053884457
frac_C,0.0053651654
peak_7_tt,0.0044178073
frac_In,0.0044100094
frac_Na,0.0041506714
xrd_kurt_intensity,0.0038956138
peak_1_tt,0.0038552529
peak_0_tt,0.003356183
frac_N,0.003217499
peak_6_int,0.0032108976
frac_Sc,0.00316956
frac_Zn,0.003072888
peak_5_tt,0.0029284675
frac_Rb,0.0028638798
peak_2_tt,0.002835464
frac_Cu,0.0028036982
frac_Cl,0.0027108688
xrd_std_intensity,0.0026973258
frac_Ni,0.0026446157
peak_2_int,0.0025289885
frac_Cd,0.0024878206
frac_Mo,0.0024855225
frac_Ti,0.0023901407
frac_I,0.0023210477
frac_Th,0.0022601008
frac_Np,0.0022527757
frac_Br,0.0021885212
frac_Pu,0.0021736294
frac_Mg,0.0020740514
frac_Mn,0.0019034661
frac_As,0.0018965427
frac_Pt,0.0014453592
frac_S,0.0013076793
frac_F,0.0012328799
frac_Co,0.0012110412
frac_Fe,0.0009890175
frac_Se,0.0008063671
frac_Sn,0.00074261596
is_stable,0.0007008027
frac_Ca,0.00063310325
frac_Bi,0.0006025462
frac_Tm,0.0003886288
frac_Tb,0.000385371
frac_Sr,0.0003659292
frac_Ge,0.00031358865
frac_Nb,0.0003128234
frac_W,0.0002327647
frac_Rh,0.00021739019
frac_Sm,0.00020306351
frac_Nd,0.00019361405
frac_V,0.00014625942
frac_Dy,0.00010240933
frac_Gd,9.147535e-05
frac_Lu,8.0026104e-05
frac_Pr,4.409474e-05
frac_Al,4.2220894e-05
frac_Ce,2.0349837e-05
frac_La,5.490912e-06
frac_Eu,2.4203327e-06
frac_Te,0.0
frac_Cr,0.0
frac_Be,0.0
frac_Er,0.0
frac_Pd,0.0
peak_9_int,0.0
