feature,importance
frac_O,0.25982857
frac_F,0.16825707
frac_N,0.07039301
frac_Ca,0.038389448
frac_C,0.03499256
frac_Cl,0.026116
frac_Ge,0.01772001
frac_Zr,0.015752919
frac_Si,0.014476216
frac_Sn,0.01413618
frac_Ba,0.013343197
peak_1_int,0.012514297
frac_U,0.012276084
frac_S,0.012212615
frac_Cu,0.012105756
peak_2_int,0.011268432
frac_P,0.011231227
frac_Sb,0.0095627075
peak_9_tt,0.009406279
frac_Ag,0.008925141
is_stable,0.008795944
peak_8_tt,0.00825089
peak_0_int,0.007926685
frac_In,0.007315475
frac_Os,0.0072768913
peak_5_int,0.007166022
frac_Mo,0.007031203
frac_Pb,0.0068456777
frac_Th,0.006582611
frac_Dy,0.0061226767
frac_Mg,0.006104099
xrd_mean_intensity,0.006097068
xrd_skew_intensity,0.006039142
frac_H,0.005972027
peak_4_tt,0.005960193
peak_6_int,0.005645809
frac_Yb,0.005333587
peak_8_int,0.005177021
peak_7_tt,0.005061429
xrd_kurt_intensity,0.004987027
frac_Hf,0.004968466
peak_5_tt,0.0049305037
peak_4_int,0.0048950207
peak_3_tt,0.0048624165
frac_Fe,0.004440778
frac_W,0.0043676016
frac_Na,0.004062652
xrd_std_intensity,0.00405101
peak_1_tt,0.0040409816
peak_3_int,0.0038067268
peak_7_int,0.0036314684
frac_Co,0.0034948818
frac_Au,0.0034356252
peak_6_tt,0.0032236269
frac_Cd,0.002903934
peak_2_tt,0.002666013
frac_K,0.002524365
frac_Hg,0.0024974048
frac_Nb,0.0023484398
peak_0_tt,0.0022845776
frac_Y,0.002258173
frac_Rb,0.002205012
frac_Li,0.002146064
frac_B,0.0019203572
frac_Tl,0.0018041979
frac_V,0.001629883
frac_As,0.0016032754
frac_Re,0.0014835085
frac_Cr,0.0013701696
frac_Al,0.0013552228
frac_Cs,0.0010067029
frac_Mn,0.00094768364
frac_Br,0.000845414
frac_Sr,0.00073166
frac_Zn,0.0005693093
frac_Bi,0.0005534757
frac_Ce,0.00045949436
frac_Ni,0.00028373994
frac_Ru,0.000115237104
frac_Eu,9.676805e-05
frac_Gd,9.158232e-05
frac_Se,7.6873366e-05
frac_Nd,6.646427e-05
frac_I,6.096576e-05
frac_Tb,6.0503164e-05
frac_Ti,4.363344e-05
frac_Np,3.792261e-05
frac_Pt,3.0554776e-05
frac_La,2.5816153e-05
frac_Er,2.4132247e-05
frac_Pr,2.338808e-05
frac_Sc,1.0179111e-05
frac_Rh,7.305521e-06
frac_Sm,7.123963e-06
frac_Pu,5.5125247e-06
frac_Te,4.0385357e-06
frac_Be,2.815098e-06
frac_Pd,0.0
frac_Tm,0.0
frac_Lu,0.0
peak_9_int,0.0
