feature,importance
xrd_std_intensity,0.20617902
xrd_kurt_intensity,0.073041394
xrd_mean_intensity,0.053483956
frac_Cl,0.044577528
frac_I,0.041096665
peak_8_tt,0.034176607
peak_8_int,0.03354618
frac_Ag,0.024467064
peak_9_tt,0.023744827
frac_H,0.020778272
frac_F,0.018505914
frac_In,0.018208854
peak_6_int,0.01780675
frac_Mo,0.013654198
frac_O,0.01344148
frac_N,0.013263169
peak_0_int,0.0131262
frac_Si,0.013003586
frac_Cr,0.012985558
peak_3_tt,0.012927028
peak_1_int,0.011612389
xrd_skew_intensity,0.011240506
peak_7_tt,0.011080079
frac_As,0.010923684
peak_4_tt,0.010793479
frac_B,0.010317695
frac_Mg,0.010269839
peak_7_int,0.009950325
peak_4_int,0.009858642
frac_Ti,0.009520811
peak_6_tt,0.00865233
frac_Br,0.008455871
peak_2_int,0.008380153
frac_S,0.008322578
frac_Se,0.008083819
frac_Ca,0.0078988755
frac_Y,0.007862601
frac_Mn,0.007121312
frac_P,0.006894818
peak_2_tt,0.0063506123
frac_Cd,0.0062179384
frac_Zn,0.006147134
frac_Ru,0.005996467
frac_Re,0.005974062
frac_C,0.005901008
peak_5_int,0.005752976
frac_Pd,0.005673516
peak_5_tt,0.0056312303
peak_3_int,0.005443774
frac_Ge,0.005138388
frac_Tl,0.004950791
frac_K,0.0046125893
peak_0_tt,0.004487362
frac_Os,0.004204658
peak_1_tt,0.0041411803
frac_Fe,0.0036875287
frac_Na,0.0034784165
frac_Rh,0.0033995216
frac_Cu,0.002816924
frac_Rb,0.00232786
frac_Sc,0.0020537062
frac_Sr,0.0017892619
frac_Li,0.0017267701
frac_U,0.0017123041
frac_Sb,0.0015219747
frac_Sn,0.0014381685
frac_Cs,0.0013656771
frac_W,0.0013139684
frac_Ba,0.0012796052
is_stable,0.0011705478
frac_Co,0.0008823116
frac_Yb,0.00046992145
frac_Au,0.00036236155
frac_Th,0.00028945922
frac_Ce,0.0002698253
frac_Hg,0.000266566
frac_Lu,0.00016033837
frac_Pb,7.421505e-05
frac_V,7.3324874e-05
frac_Zr,4.3825246e-05
frac_Dy,3.7733833e-05
frac_Gd,2.3846833e-05
frac_Sm,1.7738634e-05
frac_Nd,1.2907547e-05
frac_Al,1.27379e-05
frac_Tb,1.0802453e-05
frac_Ni,1.05576155e-05
frac_Pu,9.9666095e-06
frac_La,5.002244e-06
frac_Hf,2.6872924e-06
frac_Pr,2.363978e-06
frac_Np,8.91905e-07
frac_Eu,3.403982e-07
frac_Tm,1.8153366e-07
frac_Nb,3.5190563e-08
frac_Be,0.0
frac_Pt,0.0
frac_Te,0.0
frac_Er,0.0
frac_Bi,0.0
peak_9_int,0.0
