# r(Angstrom) g(r)
0.000000000000000000e+00 0.000000000000000000e+00
3.344481605351170422e-02 0.000000000000000000e+00
6.688963210702340845e-02 0.000000000000000000e+00
1.003344481605351057e-01 0.000000000000000000e+00
1.337792642140468169e-01 0.000000000000000000e+00
1.672240802675585281e-01 0.000000000000000000e+00
2.006688963210702115e-01 0.000000000000000000e+00
2.341137123745819226e-01 0.000000000000000000e+00
2.675585284280936338e-01 0.000000000000000000e+00
3.010033444816053172e-01 0.000000000000000000e+00
3.344481605351170561e-01 0.000000000000000000e+00
3.678929765886287395e-01 0.000000000000000000e+00
4.013377926421404229e-01 0.000000000000000000e+00
4.347826086956521618e-01 0.000000000000000000e+00
4.682274247491638453e-01 0.000000000000000000e+00
5.016722408026755842e-01 0.000000000000000000e+00
5.351170568561872676e-01 0.000000000000000000e+00
5.685618729096989510e-01 0.000000000000000000e+00
6.020066889632106344e-01 0.000000000000000000e+00
6.354515050167224288e-01 0.000000000000000000e+00
6.688963210702341122e-01 0.000000000000000000e+00
7.023411371237457956e-01 0.000000000000000000e+00
7.357859531772574790e-01 0.000000000000000000e+00
7.692307692307691624e-01 0.000000000000000000e+00
8.026755852842808459e-01 0.000000000000000000e+00
8.361204013377926403e-01 0.000000000000000000e+00
8.695652173913043237e-01 0.000000000000000000e+00
9.030100334448160071e-01 0.000000000000000000e+00
9.364548494983276905e-01 0.000000000000000000e+00
9.698996655518393739e-01 0.000000000000000000e+00
1.003344481605351168e+00 0.000000000000000000e+00
1.036789297658862852e+00 0.000000000000000000e+00
1.070234113712374535e+00 1.791320358516304623e+01
1.103678929765886219e+00 0.000000000000000000e+00
1.137123745819397902e+00 0.000000000000000000e+00
1.170568561872909585e+00 0.000000000000000000e+00
1.204013377926421269e+00 0.000000000000000000e+00
1.237458193979932952e+00 0.000000000000000000e+00
1.270903010033444858e+00 0.000000000000000000e+00
1.304347826086956541e+00 0.000000000000000000e+00
1.337792642140468224e+00 1.922608621600680801e+00
1.371237458193979908e+00 3.662147097695741760e+00
1.404682274247491591e+00 6.983692213985566610e+00
1.438127090301003275e+00 1.666576893939923698e+00
1.471571906354514958e+00 1.194389458032773854e+00
1.505016722408026641e+00 0.000000000000000000e+00
1.538461538461538325e+00 0.000000000000000000e+00
1.571906354515050008e+00 0.000000000000000000e+00
1.605351170568561692e+00 0.000000000000000000e+00
1.638795986622073597e+00 0.000000000000000000e+00
1.672240802675585281e+00 0.000000000000000000e+00
1.705685618729096964e+00 5.945178476119735711e-01
1.739130434782608647e+00 5.720859249544653080e-01
1.772575250836120331e+00 2.754500124285823581e+00
1.806020066889632014e+00 1.061739089540674197e+00
1.839464882943143698e+00 0.000000000000000000e+00
1.872909698996655381e+00 4.939520218699459675e-01
1.906354515050167064e+00 0.000000000000000000e+00
1.939799331103678748e+00 0.000000000000000000e+00
1.973244147157190653e+00 0.000000000000000000e+00
2.006688963210702337e+00 0.000000000000000000e+00
2.040133779264214020e+00 4.169012526172974353e-01
2.073578595317725703e+00 8.073348431518858614e-01
2.107023411371237387e+00 3.910538574397349199e-01
2.140468227424749070e+00 3.884979549943663457e+00
2.173913043478260754e+00 1.286382161220547049e+00
2.207357859531772437e+00 3.565673108802648317e-01
2.240802675585284121e+00 0.000000000000000000e+00
2.274247491638795804e+00 3.360501892056883544e-01
2.307692307692307487e+00 0.000000000000000000e+00
2.341137123745819171e+00 9.517628288072844667e-01
2.374581939799330854e+00 9.253266962473379875e-01
2.408026755852842538e+00 2.399938366896302355e+00
2.441471571906354221e+00 1.751309377472131779e+00
2.474916387959865904e+00 1.988712365271714466e+00
2.508361204013378032e+00 6.915646034513295293e-01
2.541806020066889715e+00 6.736029095871268746e-01
2.575250836120401399e+00 1.181397597564688873e+00
2.608695652173913082e+00 7.676602769700557882e-01
2.642140468227424766e+00 6.237248185022512548e-01
2.675585284280936449e+00 7.299899974458836649e-01
2.709030100334448132e+00 8.308839663305894740e-01
2.742474916387959816e+00 8.108636464601429727e-01
2.775919732441471499e+00 1.243877316248343856e+00
2.809364548494983183e+00 7.729342606353417633e-01
2.842809364548494866e+00 3.235542278132648164e-01
2.876254180602006549e+00 8.429774158593085209e-01
2.909698996655518233e+00 7.208422132905071278e-01
2.943143812709029916e+00 3.019903719697284994e-01
2.976588628762541600e+00 6.889860928413157337e-01
3.010033444816053283e+00 5.775807065380091920e-01
3.043478260869564966e+00 7.533668055020062981e-01
3.076923076923076650e+00 8.293117499909669066e-01
3.110367892976588333e+00 9.920380456768447264e-01
3.143812709030100017e+00 7.945803930617795219e-01
3.177257525083611700e+00 1.037369653181201112e+00
3.210702341137123383e+00 5.926557897079020032e-01
3.244147157190635511e+00 1.078185081433959080e+00
3.277591973244147194e+00 1.137666183190961355e+00
3.311036789297658878e+00 9.158219067482145093e-01
3.344481605351170561e+00 8.586575302454245717e-01
3.377926421404682245e+00 5.357046881635117996e-01
3.411371237458193928e+00 1.725995523482897420e+00
3.444816053511705611e+00 1.619204146246793874e+00
3.478260869565217295e+00 7.941815519662587253e-01
3.511705685618728978e+00 8.500335743371220110e-01
3.545150501672240662e+00 9.036576935202950134e-01
3.578595317725752345e+00 1.057486038801975115e+00
3.612040133779264028e+00 8.706504045478121734e-01
3.645484949832775712e+00 1.183598082372918858e+00
3.678929765886287395e+00 1.355984668483223965e+00
3.712374581939799079e+00 8.878475371783071113e-01
3.745819397993310762e+00 1.059019657202244558e+00
3.779264214046822445e+00 1.530060067226587384e+00
3.812709030100334129e+00 1.082484722509884589e+00
3.846153846153845812e+00 7.092144394365669235e-01
3.879598662207357496e+00 1.858910435817363149e+00
