      Step     Time          Energy          fmax
BFGS:    0 01:14:22     -797.929932        7.374361
BFGS:    1 01:14:23     -807.465515        7.562431
BFGS:    2 01:14:25     -813.282043        2.374580
BFGS:    3 01:14:26     -814.366333        1.033732
BFGS:    4 01:14:27     -814.755249        0.768155
BFGS:    5 01:14:29     -815.088013        0.460069
BFGS:    6 01:14:30     -815.146851        0.405248
BFGS:    7 01:14:31     -815.190247        0.176604
BFGS:    8 01:14:33     -815.207275        0.151349
BFGS:    9 01:14:34     -815.219910        0.171449
BFGS:   10 01:14:35     -815.226929        0.122961
BFGS:   11 01:14:37     -815.234619        0.076197
BFGS:   12 01:14:38     -815.239807        0.082779
BFGS:   13 01:14:39     -815.245117        0.104654
BFGS:   14 01:14:41     -815.250854        0.115119
BFGS:   15 01:14:42     -815.255615        0.080519
BFGS:   16 01:14:43     -815.259094        0.071983
BFGS:   17 01:14:45     -815.261597        0.077866
BFGS:   18 01:14:46     -815.264404        0.067758
BFGS:   19 01:14:47     -815.267578        0.074374
BFGS:   20 01:14:49     -815.270325        0.088752
BFGS:   21 01:14:50     -815.273438        0.080645
BFGS:   22 01:14:51     -815.277100        0.062881
BFGS:   23 01:14:52     -815.280090        0.060113
BFGS:   24 01:14:54     -815.283936        0.063708
BFGS:   25 01:14:55     -815.286743        0.059768
BFGS:   26 01:14:56     -815.289856        0.064619
BFGS:   27 01:14:58     -815.292480        0.082238
BFGS:   28 01:14:59     -815.295410        0.064076
BFGS:   29 01:15:00     -815.298096        0.057627
BFGS:   30 01:15:02     -815.301453        0.064764
BFGS:   31 01:15:03     -815.305054        0.072980
BFGS:   32 01:15:04     -815.308289        0.073026
BFGS:   33 01:15:06     -815.311707        0.060003
BFGS:   34 01:15:07     -815.313599        0.041437
      Step     Time          Energy          fmax
BFGS:    0 01:18:28     -797.929932        7.374361
BFGS:    1 01:18:29     -807.465515        7.562431
BFGS:    2 01:18:30     -813.282043        2.374580
BFGS:    3 01:18:31     -814.366333        1.033732
BFGS:    4 01:18:33     -814.755249        0.768155
BFGS:    5 01:18:34     -815.088013        0.460069
BFGS:    6 01:18:35     -815.146851        0.405248
BFGS:    7 01:18:37     -815.190247        0.176604
BFGS:    8 01:18:38     -815.207275        0.151349
BFGS:    9 01:18:39     -815.219910        0.171449
BFGS:   10 01:18:41     -815.226929        0.122961
BFGS:   11 01:18:42     -815.234619        0.076197
BFGS:   12 01:18:43     -815.239807        0.082779
BFGS:   13 01:18:45     -815.245117        0.104654
BFGS:   14 01:18:46     -815.250854        0.115119
BFGS:   15 01:18:47     -815.255615        0.080519
BFGS:   16 01:18:49     -815.259094        0.071983
BFGS:   17 01:18:50     -815.261597        0.077866
BFGS:   18 01:18:52     -815.264404        0.067758
BFGS:   19 01:18:53     -815.267578        0.074374
BFGS:   20 01:18:55     -815.270325        0.088752
BFGS:   21 01:18:56     -815.273438        0.080645
BFGS:   22 01:18:58     -815.277100        0.062881
BFGS:   23 01:18:59     -815.280090        0.060113
BFGS:   24 01:19:01     -815.283936        0.063708
BFGS:   25 01:19:02     -815.286743        0.059768
BFGS:   26 01:19:04     -815.289856        0.064619
BFGS:   27 01:19:05     -815.292480        0.082238
BFGS:   28 01:19:07     -815.295410        0.064076
BFGS:   29 01:19:08     -815.298096        0.057627
BFGS:   30 01:19:10     -815.301453        0.064764
BFGS:   31 01:19:11     -815.305054        0.072980
BFGS:   32 01:19:13     -815.308289        0.073026
BFGS:   33 01:19:14     -815.311707        0.060003
BFGS:   34 01:19:16     -815.313599        0.041437
